,DATE,COMPANYNAME,AMOUNT,ROUND,INVESTORS,COUNTRY,COUNTRY(HQ),CATEGORY,SECTOR
480,2018-04-14,Edves,50000,Grant,Seedstars,Nigeria,Nigeria,"EdTech, Enterprise Resource Planning (ERP), SaaS",Education
481,2018-04-16,Nobuntu,200000,Seed,DFS Lab,South Africa,South Africa,"Finance, Financial Services, FinTech",Financial Services
482,2018-04-16,Cherehani Africa,50000,Seed,DFS Lab,Kenya,Kenya,"FinTech, Productivity Tools",Financial Services
483,2018-04-16,Nala,50000,Seed,DFS Lab,Tanzania,Tanzania,"Financial Inclusion, Digital Financial Services, Mobile Money, and Fintech",Financial Services
484,2018-04-16,Airbuy,12000,Grant,Amazon Web Services,South Africa,South Africa,"Online Shopping, Security, Banking",E-Commerce & Retail
485,2018-04-17,Giraffe,0,Series A,"Vumela Fund, Omidyar Network, Forever Young Capital, Catapult Trust",South Africa,South Africa,"Analytics, Recruitment, Artificial Intelligence",Recruitment
486,2018-04-18,Annona,0,Seed,PeaceTech Accelerator,Kenya,Kenya,"Mobile Technology, Logistics, International Trade, Agriculture Market Access",Transport & Logistics
487,2018-04-19,AJUA,3500000,Series A,"TLcom Capital Partners, Cross Culture Ventures, Alpha Angels, Social Capital, Safaricom, Kapor Capital, Golden Palm Investments",Kenya,Kenya,"Data, Insights, Mobile surveys, Mobile rewards, Voice of the Customer, NPS, Feedback Loop, Surveys, Health and Academic Research, Customer Feedback, Customer Loyalty, Net Promoter Score, NPS, Customer Acquisition, Customer Retention",Information Technology
488,2018-04-19,Shezlong,350000,Seed,"500 Startups, Endure Capital, HIMangel",Egypt,Egypt,"Health Care, Medical, mHealth",Healthcare & Pharma
490,2018-04-22,Lagare.ma,217000,Seed,Undisclosed,Morocco,Morocco,"Public Transportation, Software, Ticketing, Transportation, Travel",Transport & Logistics
491,2018-04-23,SWVL,8000000,Series A,"BECO Capital, DiGame, Silicon Badia, Careem",Egypt,Egypt,"Internet, Mobile Apps, Transportation, Travel, Ride hailing",Transport & Logistics
492,2018-04-23,UTU technologies,0,Seed,Zeroth,Kenya,Kenya,"Artificial Intelligence, Blockchain, IaaS, Information Services, Information Technology, Machine Learning, Sharing Economy",Emerging Technologies
493,2018-04-23,Skillup Tutors ,0,Series A,Knife Capital ,South Africa,South Africa,"EdTech, Education",Education
494,2018-04-24,CoinAfrique,3100000,Series A,"Mercure International, French Partners, Investisseurs & Partenaires (I&P)",Mauritius,Mauritius,Mobile Marketplace,E-Commerce & Retail
495,2018-04-25,Africa's Talking,8600000,Series A,"International Finance Corporation, Orange Digital Ventures, Social Capital ",Kenya,Kenya,"Developer APIs, Information Technology, Mobile, Telecommunications",Information Technology
496,2018-04-26,Trade Depot,3000000,Series A,Partech Partners,Nigeria,Nigeria,"Secondary Distribution, Trade Insights, Salesforce Automation, B2B, Consumer Goods",SaaS
497,2018-04-26,Mobius Motors,5000000,Debt Financing,Overseas Private Investment Corporation,Kenya,Kenya,"Automotive, Manufacturing, Product Design",Automotive
498,2018-04-26,CDL,1000000,Series A,Consonance Investment Managers ,Kenya,Kenya,"Developer Tools, Information Technology, Logistics, Mobile",Transport & Logistics
499,2018-04-27,Harmonica,150000,Seed,500 startups,Egypt,Egypt,"Dating, Mobile Apps, Social Network",Social Network
500,2018-04-28,PiggyVest,50000,Seed,VilCap Investments,Nigeria,Nigeria,"Banking, Debit Cards, Finance, Financial Services, Fintech",Financial Services
501,2018-04-30,Easyshop Easycook,0,Seed,EchoVC Partners,Nigeria,Nigeria,"Agriculture, Food Delivery, Logistics, Supply Chain Management",E-Commerce & Retail
502,2018-04-30,Ampersand Electric Motorcycles,500000,Seed,Factor E Ventures,Rwanda,Rwanda,"Automotive, Electric Vehicle, Emerging Markets, Transportation",Automotive
503,2018-04-30,Shagga3App ,100000,Seed,Hazem Shisha,Egypt,Egypt,Mobile application,Media & Entertainment
504,2018-04-30,La Reina,1000000,Series A,"Algebra Ventures, 500 Startups",Egypt,Egypt,"Fashion, Jewelry, Marketplace, Retail, Wearables, Wedding",E-Commerce & Retail
505,2018-05-01,Nawah Scientific,250000,Debt Financing,Undisclosed,Egypt,Egypt,"Biopharma, Biotechnology, Life Science",Healthcare & Pharma
506,2018-05-01,Mumm,150000,Grant,Nestle,Egypt,Egypt,"E-Commerce, Food and Beverage, Food Delivery, Marketplace",E-Commerce & Retail
507,2018-05-01,Tareeqi,60000,Seed,Undisclosed,Egypt,Egypt,"Education, Fleet Management, Information Technology, Logistics, SaaS, Transportation",Transport & Logistics
508,2018-05-01,Zomila,35000,Seed,Injini,South Africa,South Africa,"Education, Software",Education
509,2018-05-01,E-Estates,35000,Seed,Co-Creation Hub Nigeria,Nigeria,Nigeria,"Communities, Computer, Information Technology, Mobile Apps, Property Management, Real Estate, Software",Real Estate
510,2018-05-02,Wuzzuf,6000000,Series B,"European Bank for Reconstruction and Development, Kingsway Capital, Endure Capital",Egypt,Egypt,"Information Services, Information Technology, Software, Web Development",Recruitment
511,2018-05-03,Medsaf,330000,Seed,Lateral Capital,Nigeria,Nigeria,"Health Care, Pharmaceutical, SaaS",Healthcare & Pharma
512,2018-05-04,Nocofio,40000,Seed,Start-Up Chile,Ghana,Ghana,"Business Development, Micro Lending, Small and Medium Businesses",Financial Services
513,2018-05-04,Inyenyeri,1200000,Convertible Note,Oikocredit International,Rwanda,Rwanda,"Energy, Environmental Consulting, Renewable Energy",Renewables & Environment
514,2018-05-08,Sweepsouth,0,Series A,"CRE Venture Capital, Draper Dark Flow, Identity Partners",South Africa,South Africa,"Home Improvement, Home Services, Internet",Commercial & Professional Services
515,2018-05-09,Sensor Networks,1030000,Series B,"Sanari Capital, ASISA ESD Fund, 4Di Capital",South Africa,South Africa,"Internet, Internet of Things, Risk Management",Emerging Technologies
516,2018-05-10,BirdPreneuer,40000,Seed,Iowa AgriTech Accelerator,Nigeria,Nigeria,"Agriculture, AgTech, Animal Feed, Farming",Agriculture
517,2018-05-11,E-Estates,25000,Seed,Co-Creation Hub Nigeria,Nigeria,Nigeria,"Communities, Computer, Information Technology, Mobile Apps, Property Management, Real Estate, Software",Real Estate
518,2018-05-11,Track Your Build,25000,Seed,Co-Creation Hub Nigeria,Sierra Leone,Sierra Leone,"Drones, Cloud Computing",Emerging Technologies
519,2018-05-12,Touchabl Pictures,20000,Seed,Genesys Tech Hub,Nigeria,Nigeria,"Business Intelligence, Commercial, E-Commerce, Machine Learning, Photo Sharing",E-Commerce & Retail
520,2018-05-14,Cellulant,47500000,Series C,"The Rise fund, Satya Capital, Endeavor Catalyst, Velocity Capital, Progression Africa.",Kenya,Kenya,"Mobile Payments, Digital Payments, eCommerce, FinTech, mobile commerce, Fintech Africa, BlockChain, and MobileMoney",Financial Services
521,2018-05-14,Funtrench,25000,Seed,Positrust LLC,Kenya,Kenya,"Blockchain, Information Technology, Software Engineering, Training",Information Technology
522,2018-05-15,Kopa Technologies,1700000,Series A,Undisclosed,Mauritius,Mauritius,"Android, B2B, B2C, Business Development, Digital Marketing, E-Commerce, E-Commerce Platforms, Enterprise Applications, Enterprise Software, Food Delivery, iOS, Marketplace, Mobile Apps, Product Design, Retail Technology, Social Media, Social Media Marketing, Software, Web Development",Travel & Leisure
523,2018-05-15,Selina Wamucii,100000,Grant,Expo Live,Kenya,Kenya,Agriculture,Agriculture
524,2018-05-15,Mosawer,28000,Seed,Flat6Labs,Egypt,Egypt,"Advertising Platforms, Photography, Scheduling",Media & Entertainment
525,2018-05-15,Tombeely,28000,Seed,Flat6Labs,Egypt,Egypt,"Automotive, retail",E-Commerce & Retail
526,2018-05-15,7aweshly,28000,Seed,Flat6Labs,Egypt,Egypt,"Savings, Financial technology",Financial Services
527,2018-05-15,Arza2,28000,Seed,Flat6Labs,Egypt,Egypt,"Recruitment, Talent, Labour",Commercial & Professional Services
528,2018-05-15,Chefaa,28000,Seed,Flat6Labs,Egypt,Egypt,"Artificial Intelligence, E-Commerce, Health Care, Information Technology, Mobile Apps, Pharmaceutical",Healthcare & Pharma
529,2018-05-15,MedMisr,28000,Seed,Flat6Labs,Egypt,Egypt,"Employee Benefits, Health Care, Health Insurance, Insurance, Medical, Mobile Apps",Healthcare & Pharma
530,2018-05-15,iSagha,28000,Seed,Flat6Labs,Egypt,Egypt,"E-Commerce, Financial Exchanges, Jewelry, Retail",E-Commerce & Retail
531,2018-05-15,Weelo,28000,Seed,Flat6Labs,Egypt,Egypt,"Supermarket, Delivery",E-Commerce & Retail
532,2018-05-15,Wasel,28000,Seed,Flat6Labs,Egypt,Egypt,"Transportation, Trucking, Railroad",Transport & Logistics
533,2018-05-15,Transpooler,28000,Seed,Flat6Labs,Egypt,Egypt,"Schools, B2B, Transportation",Transport & Logistics
534,2018-05-21,Izyshop,0,Seed,DHD Holding,Mozambique,Mozambique,"Food & Beverages, E-commerce",E-Commerce & Retail
535,2018-05-22,Janngo,1138350,Seed,"Clipperton, Soeximex, Pole Innovation Metiers",Ivory Coast,Ivory Coast,"Digital Marketing, Digital Media, Internet",Marketing
536,2018-05-23,Lidya,6900000,Series A,"Omidyar Network, Tekton Ventures, Newid capital, Bamboo Capital Partners, Alitheia Capital, Accion Venture Lab",Nigeria,Nigeria,"Fintech, Small Medium Businesses, Working Capital, Frontier & Emerging Markets, and Credit Score",Financial Services
537,2018-05-23,Pawame ,543000,Crowdfunding,TRINE,Kenya,Kenya,"Energy, Environmental Engineering, Renewable Energy, Solar",Energy & Environment Resources
538,2018-05-24,Teliman,700000,Seed,CFAO Automotive,Mali,Mali,"Bikes, Ride hailing, Apps, Logistics",Transport & Logistics
539,2018-05-24,Entlaqa,300000,Seed,"Mohamed ben Saleh Ba Wazier, Salem ben Saleh Ba Wazier",Egypt,Egypt,"Information Technology, Software",Information Technology
540,2018-05-24,CompareInsurance.com.ng,150000,Grant,Connecticut's Global Venture Challenge,Nigeria,Nigeria,"Insurance, FinTech",Financial Services
541,2018-05-26,Trade Ghana,100000,Grant,Bill & Melinda Gates Foundation,Ghana,Ghana,"Internet, Service Industry, Transportation",E-Commerce & Retail
542,2018-05-29,Bermoda,0,Seed,HIMAngel,Egypt,Egypt,"Agriculture, Biotechnology",Agriculture
543,2018-05-29,Aura,160000,Seed,HAVAIC,South Africa,South Africa,Security,Information Technology
544,2018-05-29,Brantu,1200000,Seed,Helhjärtad Finans AB,Egypt,Egypt,"e-commerce, online shopping, and Fashion",E-Commerce & Retail
545,2018-05-31,O-Mobile Multimedia Ltd,10000000,Grant,So.Sui.Ben Foundation,0,0,0,0
546,2018-05-31,Beat Drone,13900,Grant,Diamond Bank,Nigeria,Nigeria,Drones,Emerging Technologies
547,2018-05-31,PiggyVest,1100000,Seed,"LeadPath Nigeria, Village Capital, Ventures Platform",Nigeria,Nigeria,"Banking, Debit Cards, Finance, Financial Services, Fintech",Financial Services
548,2018-06-01,WaystoCap,0,Seed,Outlierz Ventures,Morocco,Morocco,"B2B, E-Commerce, E-Commerce Platforms",E-Commerce & Retail
549,2018-06-01,MaxAB,0,Seed,Outlierz Ventures,Egypt,Egypt,"B2B, E-Commerce, Internet",E-Commerce & Retail
550,2018-06-01,RxAll,500000,Seed,Katapult Accelerator,United States of America,United States of America,"Artificial Intelligence, Blockchain, Database, Hardware, Software",Emerging Technologies
551,2018-06-01,AfricaSokoni,250000,Seed,Undisclosed,Kenya,Kenya,"Consumer, E-Commerce, Internet, Retail, Marketplace",E-Commerce & Retail
552,2018-06-01,Shopmeaway,120000,Pre-Seed,Undisclosed,Senegal,Senegal,"logistics, e-commerce",E-Commerce & Retail
553,2018-06-01,Lush Plans,10000,Grant,Undisclosed,Nigeria,Nigeria,"Big Data, Event Management, Events, Machine Learning, Productivity Tools, Wedding",Commercial & Professional Services
554,2018-06-04,Tanda,0,Seed,White Rhino Ventures,Kenya,Kenya,"Credit, Financial Services, FinTech, Micro Lending, Supply Chain Management",Financial Services
555,2018-06-04,Golix,23000000,ICO,-,Zimbabwe,Zimbabwe,"Cryptocurrency, Blockchain, Exchange",Financial Services
556,2018-06-05,TalkLift,50000,Seed,Pangea Accelerator,Kenya,Kenya,"CRM, Customer Support, Customer Experience, SaaS",SaaS
557,2018-06-05,Onesha,50000,Seed,Pangea Accelerator,Kenya,Kenya,"Architecture, Brand Marketing, Digital Marketing, Digital Media, Education, Graphic Design, Personal Branding, Recruiting, Social Media Marketing, Video Advertising",Media & Entertainment
559,2018-06-05,TozzaPlus,50000,Seed,Pangea Accelerator,Kenya,Kenya,"FinTech, Human Resources, Payments, SaaS, Software",Commercial & Professional Services
560,2018-06-06,MDaas Global,120000,Seed,Techstars,Nigeria,Nigeria,"Medical Equipment, Medical Equipment Maintenance & Repair, Training, Medical Equipment Financing, Economic Development, Shipping and Logistics, Biomedical Training, Medical Diagnostics, and Primary Care",Healthcare & Pharma
561,2018-06-07,Little Cab,3000000,Series A,Undisclosed,Kenya,Kenya,"Taxi Hailing Platform, Taxi, Taxi App, Taxi Aggregator, App, transport logistic, Wallet, SOS, Rider, Driver, Africa, kenya, and Mobile App",Transport & Logistics
562,2018-06-08,Musanga,0,Seed,Ground Squirrel Ventures,Zambia,Zambia,"Delivery, Delivery Service, Logistics",Transport & Logistics
563,2018-06-08,Lumkani,0,Seed,"Lireas Holdings, 4Di Capital, Accion Venture Lab",South Africa,South Africa,"Consumer Electronics, Information Technology, Security",Information Technology
564,2018-06-08,Questworks,1200000,Debt Financing,SunFunder,Kenya,Kenya,"Procurement, Value Engineering, Tax planning and Advisory",Real Estate
565,2018-06-14,CowryWise,15000,Seed,Microtraction,Nigeria,Nigeria,"Personal Finance, Wealth Management, Savings",Financial Services
566,2018-06-15,Matibabu,33000,Grant,Royal Academy of Engineering,Uganda,Uganda,"Health Care, Health Diagnostics, Medical Device, Mobile Apps",Healthcare & Pharma
567,2018-06-18,HouseMe,0,Series A,Undisclosed,South Africa,South Africa,"Data Center Automation, Digital Media, Digital Signage, Industrial Automation",Real estate
568,2018-06-19,Shieldfy,0,Seed,Arzan Venture Capital,Egypt,Egypt,"Cyber Security, Developer Tools, Information Technology, Internet, SaaS",Information Technology
569,2018-06-20,GreenPath Food,1000000,Series A,"Oxfam’s Enterprise Development Programme, Novastar Ventures",Ethiopia,Ethiopia,"Agriculture, Artificial Intelligence, Biotechnology, Food and Beverage, Health Care",Agriculture
570,2018-06-22,Accounteer,50000,Seed,MEST Africa,Nigeria,Nigeria,"Accounting, Banking, Financial Services, Cloud Computing",Financial Services
571,2018-06-27,ClinicPesa,0,Seed,Villgro Kenya,Uganda,Uganda,"Healthcare, MicroSavings, Financial Services",Financial Services
572,2018-06-27,Casky,0,Seed,Undisclosed,Morocco,Morocco,"Artificial Intelligence, Blockchain, Hardware, Internet of Things, Mobile Apps, SaaS, Transportation",Transport & Logistics
573,2018-06-27,MamaOpe,0,Seed,Villgro Kenya,Uganda,Uganda,"Artificial Intelligence, Health Care, Health Diagnostics, Machine Learning, Medical, Medical Device",Healthcare & Pharma
574,2018-06-27,BuyCoins,15000,Seed,Microtraction,Nigeria,Nigeria,"Bitcoin, Cryptocurrency, Mobile Apps",Financial Services
575,2018-06-27,Staffbus,13903,Grant,The Noella Tinubu Foundation,Nigeria,Nigeria,E-Booking,Transport & Logistics
576,2018-06-28,Kobo360,1200000,Seed,"Western Technology Investment,Africa Future Limited",Nigeria,Nigeria,"SMEs export/import solution, E-commerce Supply Chain, Mail/Parcel, Office/Home Moving, Haulage, Air Freight, Project Cargo, Sea Freight, Agribusiness",Transport & Logistics
577,2018-06-29,ZPOS,0,Seed,Ground Squirrel Ventures,Zambia,Zambia,"Apps, Internet, Retail",Financial services
578,2018-06-29,Outsource Now,0,Seed,Ground Squirrel Ventures,Zambia,Zambia,"Information Services, Information Technology, Technical Support",Information Technology
579,2018-06-29,Kobo360,120000,Pre-Seed,Y Combinator,Nigeria,Nigeria,"SMEs export/import solution, E-commerce Supply Chain, Mail/Parcel, Office/Home Moving, Haulage, Air Freight, Project Cargo, Sea Freight, Agribusiness",Transport & Logistics
580,2018-06-30,Powah Limited,25000,Grant,TDB,Uganda,Uganda,Clean Technology,Resource & Energy
581,2018-06-30,Briglobe,20000,Seed,Pangea Accelerator,Kenya,Kenya,"Brand Marketing, Consulting, Digital Marketing, Information Technology, Software, Software Engineering",Information Technology
582,2018-07-01,JobJack,20000,Seed,Undisclosed,South Africa,South Africa,Marketplace,Recruitment
583,2018-07-02,Solatrify,5000,Seed,Undisclosed,Nigeria,Nigeria,"Energy, Financial Services, Renewable Energy, Retail, Solar",Resource & Energy
584,2018-07-03,Twiga Foods,7000000,Venture Round,"TLcom Capital Partners, International Finance Corporation",Kenya,Kenya,"mCommerce, Distribution, and Agriculture",E-Commerce & Retail
585,2018-07-05,African Leadership Academy,30800000,Series B,"Anders Holch Povlsen, Omidyar Network, ",South Africa,South Africa,"E-Learning, Education, Tutoring",Education
586,2018-07-05,Bismart Insurance,0,Seed,GreenTec Capital Partners,Kenya,Kenya,"Marketplace, Aggregator, Insurtech",Financial Services
587,2018-07-05,Africa Delivery Technologies Ltd,50000,Pre-Seed,Undisclosed,Nigeria,Nigeria,"Delivery Services, Location Based Services, Logistics",Transport & Logistics
588,2018-07-06,Ubapesa,450000,Seed,Undisclosed,Kenya,Kenya,"Bitcoin, Blockchain, Cryptocurrency, Financial Services, Lending, Mobile Apps, Peer to Peer",Financial Services
589,2018-07-06,Webville,100000,Seed,Undisclosed,Egypt,Egypt,"Big Data, Internet, Social",Information Technology
